2	10	0.5	0.5	0.25	0.125	-0.4	0.1
3	14	0.666667	2	2	2	-0.4	0.1
4	18	0.869884	3.5	3.80302	4.3125	-0.4	0.1
5	22	0.885052	4.4	4.654	5.104	-0.4	0.1
6	24	0.874328	5	5.04031	5.27778	-0.4	0.1
7	26	0.930693	6.57143	6.94558	7.53353	-0.4	0.1
7	26	0.930693	6.57143	6.94558	7.53353	-0.4	0.1
8	30	1.01513	9.25	11.2433	14.2891	-0.4	0.1
9	32	1.05354	11.1111	13.8323	17.9588	-0.4	0.1
10	36	1.12564	14	18.5582	25.68	-0.4	0.1
11	40	1.1855	16.9091	23.2522	33.2787	-0.4	0.1
12	44	1.24784	20.25	28.8447	42.6233	-0.4	0.1
13	48	1.32065	25.2308	39.9349	66.7865	-0.4	0.1
14	52	1.40105	30.9286	53.0527	97.3765	-0.4	0.1
14	52	1.40105	30.9286	53.0527	97.3765	-0.4	0.1
14	52	1.40105	30.9286	53.0527	97.3765	-0.4	0.1
14	52	1.40105	30.9286	53.0527	97.3765	-0.4	0.1
15	56	1.47111	36.6667	66.0856	126.56	-0.4	0.1
16	60	1.54697	43.375	82.7538	167.833	-0.4	0.1
17	64	1.60204	48.9412	95.1144	195.359	-0.4	0.1
17	64	1.60204	48.9412	95.1144	195.359	-0.4	0.1
17	64	1.60204	48.9412	95.1144	195.359	-0.4	0.1
18	66	1.6057	51.8333	100.22	204.347	-0.4	0.1
19	70	1.66887	59.4737	120.83	260.095	-0.4	0.1
19	70	1.66887	59.4737	120.83	260.095	-0.4	0.1
19	70	1.66887	59.4737	120.83	260.095	-0.4	0.1
18	66	1.62386	53.8889	108.414	232.566	-0.4	0.1
19	70	1.65291	58.9474	120.076	259.243	-0.4	0.1
18	66	1.61122	53.5556	108.368	234.535	-0.4	0.1
18	66	1.61122	53.5556	108.368	234.535	-0.4	0.1
18	66	1.61122	53.5556	108.368	234.535	-0.4	0.1
18	66	1.61122	53.5556	108.368	234.535	-0.4	0.1
18	66	1.61122	53.5556	108.368	234.535	-0.4	0.1
17	62	1.53773	45.5294	85.7092	170.715	-0.4	0.1
17	62	1.53773	45.5294	85.7092	170.715	-0.4	0.1
17	62	1.53773	45.5294	85.7092	170.715	-0.4	0.1
18	66	1.5356	47.8333	89.0067	174.742	-0.4	0.1
19	70	1.57229	52.8421	100.131	199.24	-0.4	0.1
19	70	1.57229	52.8421	100.131	199.24	-0.4	0.1
19	70	1.57229	52.8421	100.131	199.24	-0.4	0.1
24	82	1.67151	75.2917	152.333	325.618	-0.4	0.1
28	94	1.80095	104.786	244.122	627.699	-0.4	0.1
